Date,Close
2002-07-30,40.55691909790039
2002-07-31,40.92889022827149
2002-08-01,41.0975456237793
2002-08-02,41.414947509765625
2002-08-05,41.62327575683594
2002-08-06,41.2860107421875
2002-08-07,41.414947509765625
2002-08-08,41.27115631103516
2002-08-09,41.57865524291992
2002-08-12,41.6629753112793
2002-08-13,41.995243072509766
2002-08-14,41.87123489379883
2002-08-15,41.62825012207031
2002-08-16,41.35542297363281
2002-08-19,41.39513397216797
2002-08-20,41.77706146240234
2002-08-21,41.67285537719727
2002-08-22,41.4496955871582
2002-08-23,41.6381950378418
2002-08-26,41.657997131347656
2002-08-27,41.53396987915039
2002-08-28,41.68772888183594
2002-08-29,41.88117599487305
2002-08-30,41.960540771484375
2002-09-03,42.41842651367188
2002-09-04,42.40349197387695
2002-09-05,42.57272720336914
2002-09-06,42.24421310424805
2002-09-09,42.18451690673828
2002-09-10,42.33379364013672
2002-09-11,42.17953109741211
2002-09-12,42.39851760864258
2002-09-13,42.59761047363281
2002-09-16,42.612525939941406
2002-09-17,42.75188064575195
2002-09-18,42.80165481567383
2002-09-19,43.01565933227539
2002-09-20,43.0007209777832
2002-09-23,43.24460983276367
2002-09-24,43.39888381958008
2002-09-25,43.0704231262207
2002-09-26,43.040565490722656
2002-09-27,43.32423782348633
2002-09-30,43.57802963256836
2002-10-01,43.19770431518555
2002-10-02,43.34245681762695
2002-10-03,43.3174934387207
2002-10-04,43.36243438720703
2002-10-07,43.53215408325195
2002-10-08,43.4522705078125
2002-10-09,43.6718978881836
2002-10-10,43.42232131958008
2002-10-11,43.1128044128418
2002-10-14,43.07787322998047
2002-10-15,42.3541145324707
2002-10-16,42.3541145324707
2002-10-17,42.12946701049805
2002-10-18,42.25426483154297
2002-10-21,41.92984390258789
2002-10-22,41.909812927246094
2002-10-23,41.99967193603516
2002-10-24,42.19938278198242
2002-10-25,42.3840446472168
2002-10-28,42.4339599609375
2002-10-29,42.8183479309082
2002-10-30,42.81331634521485
2002-10-31,43.03298568725586
2002-11-01,42.775001525878906
2002-11-04,42.63980102539063
2002-11-05,42.52456665039063
2002-11-06,42.66481018066406
2002-11-07,43.08052062988281
2002-11-08,43.185691833496094
2002-11-11,43.29593276977539
2002-11-12,43.16065979003906
2002-11-13,43.21079254150391
2002-11-14,42.66984558105469
2002-11-15,42.69988632202149
2002-11-18,42.73997116088867
2002-11-19,42.775001525878906
2002-11-20,42.53962326049805
2002-11-21,42.29417419433594
2002-11-22,42.24409103393555
2002-11-25,42.17897033691406
2002-11-26,42.55963897705078
2002-11-27,42.07379531860352
2002-11-29,42.133880615234375
2002-12-02,42.1187744140625
2002-12-03,42.113712310791016
2002-12-04,42.25986099243164
2002-12-05,42.37581634521485
2002-12-06,42.54713821411133
2002-12-09,42.70844268798828
2002-12-10,42.67315673828125
2002-12-11,42.81429290771485
2002-12-12,42.84958267211914
2002-12-13,42.69328689575195
2002-12-16,42.51693344116211
2002-12-17,42.61773300170898
2002-12-18,42.87981033325195
2002-12-19,43.10158157348633
2002-12-20,43.10158157348633
2002-12-23,43.076393127441406
2002-12-24,43.23764419555664
2002-12-26,43.30314636230469
2002-12-27,43.56021499633789
2002-12-30,43.64083480834961
2002-12-31,43.62871551513672
2003-01-02,42.93994140625
2003-01-03,43.01081848144531
2003-01-06,42.90450668334961
2003-01-07,43.04119491577149
2003-01-08,43.14253234863281
2003-01-09,42.62089920043945
2003-01-10,42.666465759277344
2003-01-13,42.74243927001953
2003-01-14,42.84371566772461
2003-01-15,42.93994140625
2003-01-16,42.92473983764648
2003-01-17,43.101993560791016
2003-01-21,43.24886703491211
2003-01-22,43.42609024047852
2003-01-23,43.33492660522461
2003-01-24,43.42103958129883
2003-01-27,43.289363861083984
2003-01-28,43.29440307617188
2003-01-29,43.10707473754883
2003-01-30,43.27418899536133
2003-01-31,43.29440307617188
2003-02-03,43.22737884521485
2003-02-04,43.3696174621582
2003-02-05,43.20196914672852
2003-02-06,43.3696174621582
2003-02-07,43.38995361328125
2003-02-10,43.30866622924805
2003-02-11,43.34929275512695
2003-02-12,43.53727722167969
2003-02-13,43.69482803344727
2003-02-14,43.54240798950195
2003-02-18,43.54240798950195
2003-02-19,43.7049674987793
2003-02-20,43.85739135742188
2003-02-21,43.69482803344727
2003-02-24,43.86754608154297
2003-02-25,43.928504943847656
2003-02-26,44.06060028076172
2003-02-27,44.10128021240234
2003-02-28,44.24858093261719
2003-03-03,44.34032440185547
2003-03-04,44.42693328857422
2003-03-05,44.50844192504883
2003-03-06,44.41675567626953
2003-03-07,44.564491271972656
2003-03-10,44.71224212646485
2003-03-11,44.70206451416016
2003-03-12,44.60013961791992
2003-03-13,44.10592651367188
2003-03-14,44.24859237670898
2003-03-17,43.90214920043945
2003-03-18,43.66271209716797
2003-03-19,43.453861236572266
2003-03-20,43.48437881469727
2003-03-21,43.08699417114258
2003-03-24,43.5047492980957
2003-03-25,43.50986099243164
2003-03-26,43.61177062988281
2003-03-27,43.693241119384766
2003-03-28,43.76461791992188
2003-03-31,44.08049774169922
2003-04-01,44.02375030517578
2003-04-02,43.71212005615234
2003-04-03,43.78873825073242
2003-04-04,43.71212005615234
2003-04-07,43.60988998413086
2003-04-08,43.77342224121094
2003-04-09,43.92156219482422
2003-04-10,43.8040885925293
2003-04-11,43.691627502441406
2003-04-14,43.56900787353516
2003-04-15,43.7222900390625
2003-04-16,43.81935501098633
2003-04-17,43.76316833496094
2003-04-21,43.681419372558594
2003-04-22,43.691627502441406
2003-04-23,43.67119598388672
2003-04-24,43.92665863037109
2003-04-25,43.99819946289063
2003-04-28,43.95225524902344
2003-04-29,43.87560272216797
2003-04-30,44.14130401611328
2003-05-01,44.17824935913086
2003-05-02,43.93711853027344
2003-05-05,44.07563781738281
2003-05-06,44.34751129150391
2003-05-07,44.6552848815918
2003-05-08,44.70146560668945
2003-05-09,44.77328109741211
2003-05-12,44.96305847167969
2003-05-13,45.00414276123047
2003-05-14,45.25034713745117
2003-05-15,45.20416641235352
2003-05-16,45.44528198242188
2003-05-19,45.43501281738281
2003-05-20,45.73773193359375
2003-05-21,45.594051361083984
2003-05-22,45.80952835083008
2003-05-23,45.75821304321289
2003-05-27,45.58891296386719
2003-05-28,45.59918212890625
2003-05-29,45.84028244018555
2003-05-30,45.81461715698242
2003-06-02,45.636661529541016
2003-06-03,45.940128326416016
2003-06-04,46.07390975952149
2003-06-05,45.90928268432617
2003-06-06,45.85785675048828
2003-06-09,46.10992050170898
2003-06-10,46.36712646484375
2003-06-11,46.26932907104492
2003-06-12,46.44939804077149
2003-06-13,46.619140625
2003-06-16,46.37737274169922
2003-06-17,46.12532424926758
2003-06-18,45.84757995605469
2003-06-19,45.9144172668457
2003-06-20,45.84242248535156
2003-06-23,46.01733016967773
2003-06-24,46.23335266113281
2003-06-25,45.883575439453125
2003-06-26,45.43093490600586
2003-06-27,45.38975143432617
2003-06-30,45.49776458740234
2003-07-01,45.61850357055664
2003-07-02,45.66518783569336
2003-07-03,45.37493896484375
2003-07-07,45.13136672973633
2003-07-08,45.14690780639648
2003-07-09,45.22978973388672
2003-07-10,45.33349990844727
2003-07-11,45.49414825439453
2003-07-14,45.22978973388672
2003-07-15,44.61309051513672
2003-07-16,44.628639221191406
2003-07-17,44.5353889465332
2003-07-18,44.42130661010742
2003-07-21,43.84083938598633
2003-07-22,43.99635314941406
2003-07-23,44.13107299804688
2003-07-24,43.960052490234375
2003-07-25,43.90302658081055
2003-07-28,43.581764221191406
2003-07-29,43.15673828125
2003-07-30,43.50396347045898
2003-07-31,43.21372985839844
2003-08-01,43.38993835449219
2003-08-04,43.70883941650391
2003-08-05,43.41605758666992
2003-08-06,43.86040496826172
2003-08-07,44.01723098754883
2003-08-08,44.01202774047852
2003-08-11,43.829044342041016
2003-08-12,43.7506103515625
